0.01,34,0
0.02,35,16717409099825833326
0.03,24,0
0.04,25,16717408000314205550
0.05,38,0
0.07,39,16861755181300343920
0.08,40,0
0.09,41,18446744073709551615
0.1,34,0
0.12,35,16717409099825833326
0.13,24,0
0.14,25,16717408000314205550
0.15,38,0
0.17,39,16861755181300343920
0.18,40,0
0.19,41,18446744073709551615
0.2,34,0
0.22,35,16717409099825833326
0.23,24,0
0.24,25,16717408000314205550
0.26,38,0
0.27,39,16861755181300343920
0.28,40,0
0.3,41,18446744073709551615
0.31,34,0
0.32,35,16717409099825833326
0.33,24,0
0.34,25,16717408000314205550
0.36,38,0
0.36,39,16861755181300343920
0.38,40,0
0.39,41,18446744073709551615
0.4,34,0
0.41,35,16717409099825833326
0.43,24,0
0.44,25,16717408000314205550
0.45,38,0
0.46,39,16861755181300343920
0.48,40,0
0.49,41,18446744073709551615
0.5,34,0
0.52,35,16717409099825833326
0.53,24,0
0.54,25,16717408000314205550
0.55,38,0
0.57,39,16861755181300343920
0.58,40,0
0.59,41,18446744073709551615
0.6,34,0
0.62,35,16717409099825833326
0.63,24,0
0.64,25,16717408000314205550
0.65,38,0
0.67,39,16861755181300343920
0.68,40,0
0.69,41,18446744073709551615
0.7,34,0
0.71,35,16717409099825833326
0.73,24,0
0.74,25,16717408000314205550
0.75,38,0
0.76,39,16861755181300343920
0.78,40,0
0.79,41,18446744073709551615
0.8,34,0
0.82,35,16717409099825833326
0.83,24,0
0.84,25,16717408000314205550
0.85,38,0
0.87,39,16861755181300343920
0.88,40,0
0.89,41,18446744073709551615
0.9,34,0
0.92,35,16717409099825833326
0.93,24,0
0.94,25,16717408000314205550
0.95,38,0
0.97,39,16861755181300343920
0.99,40,0
0.99,41,18446744073709551615
1,34,0
1.01,35,16717409099825833326
1.04,24,0
1.05,25,16717408000314205550
1.05,38,0
1.06,39,16861755181300343920
1.08,40,0
1.09,41,18446744073709551615
1.1,34,0
1.12,35,16717409099825833326
1.13,24,0
1.14,25,16717408000314205550
1.15,38,0
1.17,39,16861755181300343920
1.18,40,0
1.19,41,18446744073709551615
1.2,34,0
1.22,35,16717409099825833326
1.23,24,0
1.24,25,16717408000314205550
1.25,38,0
1.27,39,16861755181300343920
1.28,40,0
1.29,41,18446744073709551615
1.3,34,0
1.32,35,16717409099825833326
1.33,24,0
1.34,25,16717408000314205550
1.35,38,0
1.37,39,16861755181300343920
1.38,40,0
1.39,41,18446744073709551615
1.4,34,0
1.42,35,16717409099825833326
1.43,24,0
1.44,25,16717408000314205550
1.45,38,0
1.47,39,16861755181300343920
1.48,40,0
1.49,41,18446744073709551615
1.5,34,0
1.52,35,16717409099825833326
1.53,24,0
1.54,25,16717408000314205550
1.55,38,0
1.57,39,16861755181300343920
1.58,40,0
1.59,41,18446744073709551615
1.61,34,0
1.62,35,16717409099825833326
1.63,24,0
1.64,25,16717408000314205550
1.65,38,0
1.66,39,16861755181300343920
1.68,40,0
1.69,41,18446744073709551615
1.7,34,0
1.71,35,16717409099825833326
1.73,24,0
1.74,25,16717408000314205550
1.75,38,0
1.76,39,16861755181300343920
1.78,40,0
1.79,41,18446744073709551615
1.8,34,0
1.81,35,16717409099825833326
1.83,24,0
1.84,25,16717408000314205550
1.85,38,0
1.86,39,16861755181300343920
1.88,40,0
1.89,41,18446744073709551615
1.9,34,0
1.92,35,16717409099825833326
1.93,24,0
1.94,25,16717408000314205550
1.95,38,0
1.97,39,16861755181300343920
1.98,40,0
1.99,41,18446744073709551615
2,34,0
2.01,35,16717409099825833326
2.03,24,0
2.04,25,16717408000314205550
2.05,38,0
2.07,39,16861755181300343920
2.08,40,0
2.09,41,18446744073709551615
2.1,34,0
2.12,35,16717409099825833326
2.13,24,0
2.14,25,16717408000314205550
2.15,38,0
2.17,39,16861755181300343920
2.18,40,0
2.19,41,18446744073709551615
2.2,34,0
2.22,35,16717409099825833326
2.23,24,0
2.24,25,16717408000314205550
2.25,38,0
2.26,39,16861755181300343920
2.28,40,0
2.29,41,18446744073709551615
2.3,34,0
2.31,35,16717409099825833326
2.33,24,0
2.34,25,16717408000314205550
2.35,38,0
2.37,39,16861755181300343920
2.38,40,0
2.39,41,18446744073709551615
